ID,testlogloss,trainlogloss,eta,nrounds,num_parallel_tree,max_depth,max_delta_step,colsample_bynode,colsample_bylevel,colsample_bytree,subsample,grow_policy,tree_method,booster,alpha,lambda,objective,with_pca,with_important_only,drop_ctl,DirectoryPath,c_pca_thresh
63,0.0167642257865069,,0.05,200,10,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
64,0.0169302806543469,,0.05,300,4,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
65,0.0185521289160943,,,300,,,,0.5,,,0.6,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
66,0.0186989396292323,,0.1,300,4,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
67,0.0189143449331721,,,300,,,,0.5,,,0.6,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
68,0.0168041315202352,,0.05,300,4,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
69,0.0167261243904787,,0.1,300,4,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
70,0.0167963994763928,,0.05,300,4,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
71,0.0167056975922345,,0.1,300,4,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
72,0.0188731991905645,,,100,,,,0.3,,,0.4,,,gblinear,0.0,0.5,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
73,0.0193037478243716,,,100,,,,0.3,,,0.4,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
74,0.0188731991929546,,,100,,,,0.5,,,0.4,,,gblinear,0.0,0.5,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
75,0.0193037478196266,,,100,,,,0.5,,,0.4,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
76,0.0188731991742128,,,100,,,,0.3,,,0.6,,,gblinear,0.0,0.5,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
77,0.0193037478161359,,,100,,,,0.3,,,0.6,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
78,0.0188731991843382,,,100,,,,0.5,,,0.6,,,gblinear,0.0,0.5,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
79,0.0193037478323012,,,100,,,,0.5,,,0.6,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
80,0.0171126337303605,,0.05,500,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
81,0.0171724098528809,,0.05,200,10,4,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
82,0.0182485808943907,,0.01,3000,1,2,3,0.5,0.7,1.0,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
83,0.017095217763191,,0.05,500,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
84,0.0171733149808766,,0.05,200,10,4,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
85,0.0174537729928494,,0.05,200,10,5,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
86,0.0179420263071203,0.015321779827812,0.05,200,10,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
87,0.0179289100351669,0.0153204307185042,0.05,200,10,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
88,0.0171314110587938,0.0113790748934777,0.05,500,10,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
89,0.0175614582836384,0.0121137651006806,0.05,200,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
90,0.0172569092374499,0.0153906588797604,0.05,200,10,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
91,0.0177597731651973,0.010329829848062,0.01,3000,1,1,3,0.5,0.7,1.0,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
92,0.01754364145329,0.0121110558547564,0.05,200,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
93,0.0171191751435038,0.0113781049242851,0.05,500,10,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
94,0.017490408747013,0.00875343524286826,0.05,200,10,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
95,0.0168859322313368,0.0124427656992444,0.1,200,10,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
96,0.0174826428771868,0.00875210840465608,0.05,200,10,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
97,0.0175839532493136,0.00609429469736994,0.05,500,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
98,0.01775189426374,0.0103308329288758,0.01,3000,1,1,3,0.5,0.7,1.0,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
99,0.0176739547595231,0.00608548087167251,0.05,200,10,4,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
100,0.0176003422546617,0.00609407037176624,0.05,500,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
